Entrez Id,Gene,Dataset,Dependent Cell Lines,Cell Lines with Data,Strongly Selective,Common Essential
1,A1BG,DependencyEnum.RNAi_merged,2.0,547.0,False,False
29974,A1CF,DependencyEnum.RNAi_merged,11.0,710.0,True,False
2,A2M,DependencyEnum.RNAi_merged,3.0,547.0,False,False
144568,A2ML1,DependencyEnum.RNAi_merged,2.0,547.0,False,False
53947,A4GALT,DependencyEnum.RNAi_merged,0.0,501.0,False,False
51146,A4GNT,DependencyEnum.RNAi_merged,0.0,547.0,False,False
8086,AAAS,DependencyEnum.RNAi_merged,16.0,600.0,True,False
65985,AACS,DependencyEnum.RNAi_merged,2.0,547.0,False,False
13,AADAC,DependencyEnum.RNAi_merged,7.0,547.0,False,False
344752,AADACL2,DependencyEnum.RNAi_merged,1.0,285.0,False,False
343066,AADACL4,DependencyEnum.RNAi_merged,0.0,343.0,False,False
51166,AADAT,DependencyEnum.RNAi_merged,1.0,710.0,False,False
195827,PRXL2C,DependencyEnum.RNAi_merged,2.0,343.0,False,False
79719,AAGAB,DependencyEnum.RNAi_merged,0.0,343.0,False,False
22848,AAK1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
28971,AAMDC,DependencyEnum.RNAi_merged,1.0,386.0,False,False
14,AAMP,DependencyEnum.RNAi_merged,202.0,600.0,True,False
15,AANAT,DependencyEnum.RNAi_merged,0.0,708.0,False,False
25980,AAR2,DependencyEnum.RNAi_merged,1.0,343.0,False,False
441376,AARD,DependencyEnum.RNAi_merged,0.0,343.0,False,False
16,AARS1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
57505,AARS2,DependencyEnum.RNAi_merged,6.0,547.0,False,False
132949,AASDH,DependencyEnum.RNAi_merged,2.0,547.0,False,False
60496,AASDHPPT,DependencyEnum.RNAi_merged,0.0,547.0,False,False
10157,AASS,DependencyEnum.RNAi_merged,0.0,547.0,False,False
26574,AATF,DependencyEnum.RNAi_merged,53.0,710.0,True,False
9625,AATK,DependencyEnum.RNAi_merged,7.0,708.0,False,False
18,ABAT,DependencyEnum.RNAi_merged,0.0,547.0,False,False
19,ABCA1,DependencyEnum.RNAi_merged,8.0,710.0,False,False
10349,ABCA10,DependencyEnum.RNAi_merged,0.0,710.0,False,False
79963,ABCA11P,DependencyEnum.RNAi_merged,4.0,597.0,True,False
26154,ABCA12,DependencyEnum.RNAi_merged,0.0,708.0,False,False
154664,ABCA13,DependencyEnum.RNAi_merged,0.0,710.0,False,False
20,ABCA2,DependencyEnum.RNAi_merged,0.0,710.0,False,False
21,ABCA3,DependencyEnum.RNAi_merged,0.0,710.0,False,False
24,ABCA4,DependencyEnum.RNAi_merged,0.0,708.0,False,False
23461,ABCA5,DependencyEnum.RNAi_merged,0.0,710.0,False,False
23460,ABCA6,DependencyEnum.RNAi_merged,0.0,710.0,False,False
10347,ABCA7,DependencyEnum.RNAi_merged,0.0,710.0,False,False
10351,ABCA8,DependencyEnum.RNAi_merged,0.0,597.0,False,False
10350,ABCA9,DependencyEnum.RNAi_merged,0.0,708.0,False,False
5243,ABCB1,DependencyEnum.RNAi_merged,1.0,710.0,False,False
23456,ABCB10,DependencyEnum.RNAi_merged,5.0,710.0,False,False
8647,ABCB11,DependencyEnum.RNAi_merged,2.0,710.0,False,False
5244,ABCB4,DependencyEnum.RNAi_merged,2.0,708.0,False,False
340273,ABCB5,DependencyEnum.RNAi_merged,7.0,710.0,False,False
10058,ABCB6,DependencyEnum.RNAi_merged,0.0,710.0,False,False
22,ABCB7,DependencyEnum.RNAi_merged,490.0,708.0,False,True
11194,ABCB8,DependencyEnum.RNAi_merged,0.0,710.0,False,False
23457,ABCB9,DependencyEnum.RNAi_merged,14.0,710.0,False,False
4363,ABCC1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
