sample,group,control,target,fq1,fq2
DMSO_TEAD_1,DMSO_TEAD,,TEAD,01.RawData/1_1/1_1_1.fq.gz,01.RawData/1_1/1_1_2.fq.gz
DMSO_TEAD_2,DMSO_TEAD,,TEAD,01.RawData/1_2/1_2_1.fq.gz,01.RawData/1_2/1_2_2.fq.gz
DMSO_TEAD_3,DMSO_TEAD,,TEAD,01.RawData/1_3/1_3_1.fq.gz,01.RawData/1_3/1_3_2.fq.gz
DMSO_H3K27ac_1,DMSO_H3K27ac,,H3K27ac,01.RawData/2_1/2_1_1.fq.gz,01.RawData/2_1/2_1_2.fq.gz
DMSO_H3K27ac_2,DMSO_H3K27ac,,H3K27ac,01.RawData/2_2/2_2_1.fq.gz,01.RawData/2_2/2_2_2.fq.gz
DMSO_H3K27ac_3,DMSO_H3K27ac,,H3K27ac,01.RawData/2_3/2_3_1.fq.gz,01.RawData/2_3/2_3_2.fq.gz
DMSO_BRD4_1,DMSO_BRD4,,BRD4,01.RawData/3_1/3_1_1.fq.gz,01.RawData/3_1/3_1_2.fq.gz
DMSO_BRD4_2,DMSO_BRD4,,BRD4,01.RawData/3_2/3_2_1.fq.gz,01.RawData/3_2/3_2_2.fq.gz
DMSO_BRD4_3,DMSO_BRD4,,BRD4,01.RawData/3_3/3_3_1.fq.gz,01.RawData/3_3/3_3_2.fq.gz
P51_TEAD_1,P51_TEAD,,TEAD,01.RawData/4_1/4_1_1.fq.gz,01.RawData/4_1/4_1_2.fq.gz
P51_TEAD_2,P51_TEAD,,TEAD,01.RawData/4_2/4_2_1.fq.gz,01.RawData/4_2/4_2_2.fq.gz
P51_TEAD_3,P51_TEAD,,TEAD,01.RawData/4_3/4_3_1.fq.gz,01.RawData/4_3/4_3_2.fq.gz
P51_H3K27ac_1,P51_H3K27ac,,H3K27ac,01.RawData/5_1/5_1_1.fq.gz,01.RawData/5_1/5_1_2.fq.gz
P51_H3K27ac_2,P51_H3K27ac,,H3K27ac,01.RawData/5_2/5_2_1.fq.gz,01.RawData/5_2/5_2_2.fq.gz
P51_H3K27ac_3,P51_H3K27ac,,H3K27ac,01.RawData/5_3/5_3_1.fq.gz,01.RawData/5_3/5_3_2.fq.gz
P51_BRD4_1,P51_BRD4,,BRD4,01.RawData/6_1/6_1_1.fq.gz,01.RawData/6_1/6_1_2.fq.gz
P51_BRD4_2,P51_BRD4,,BRD4,01.RawData/6_2/6_2_1.fq.gz,01.RawData/6_2/6_2_2.fq.gz
P51_BRD4_3,P51_BRD4,,BRD4,01.RawData/6_3/6_3_1.fq.gz,01.RawData/6_3/6_3_2.fq.gz
YTP2_TEAD_1,YTP2_TEAD,,TEAD,01.RawData/7_1/7_1_1.fq.gz,01.RawData/7_1/7_1_2.fq.gz
YTP2_TEAD_2,YTP2_TEAD,,TEAD,01.RawData/7_2/7_2_1.fq.gz,01.RawData/7_2/7_2_2.fq.gz
YTP2_TEAD_3,YTP2_TEAD,,TEAD,01.RawData/7_3/7_3_1.fq.gz,01.RawData/7_3/7_3_2.fq.gz
