sample,fastq_1,fastq_2,replicate
H358_WT,01.RawData/H358_WT_rep1/H358_WT_rep1_QKDO250000346-1A_22J7K7LT4_L2_1.fq.gz,01.RawData/H358_WT_rep1/H358_WT_rep1_QKDO250000346-1A_22J7K7LT4_L2_2.fq.gz,1
H358_WT,01.RawData/H358_WT_rep1/H358_WT_rep1_QKDO250000346-1A_2322GHLT4_L4_1.fq.gz,02.RawData/H358_WT_rep1/H358_WT_rep1_QKDO250000346-1A_2322GHLT4_L4_2.fq.gz,1
H358_WT,01.RawData/H358_WT_rep2/H358_WT_rep2_QKDO250000347-1A_22J7K7LT4_L2_1.fq.gz,01.RawData/H358_WT_rep2/H358_WT_rep2_QKDO250000347-1A_22J7K7LT4_L2_2.fq.gz,2
H358_WT,01.RawData/H358_WT_rep2/H358_WT_rep2_QKDO250000347-1A_22V3NMLT4_L1_1.fq.gz,01.RawData/H358_WT_rep2/H358_WT_rep2_QKDO250000347-1A_22V3NMLT4_L1_2.fq.gz,2
H358_D3,01.RawData/H358_D3_rep1/H358_D3_rep1_QKDO250000348-1A_22J7K7LT4_L2_1.fq.gz,01.RawData/H358_D3_rep1/H358_D3_rep1_QKDO250000348-1A_22J7K7LT4_L2_2.fq.gz,1
H358_D3,01.RawData/H358_D3_rep1/H358_D3_rep1_QKDO250000348-1A_2322GHLT4_L4_1.fq.gz,01.RawData/H358_D3_rep1/H358_D3_rep1_QKDO250000348-1A_2322GHLT4_L4_2.fq.gz,1
H358_D3,01.RawData/H358_D3_rep2/H358_D3_rep2_QKDO250000349-1A_22J7K7LT4_L2_1.fq.gz,01.RawData/H358_D3_rep2/H358_D3_rep2_QKDO250000349-1A_22J7K7LT4_L2_2.fq.gz,2
H358_D3,01.RawData/H358_D3_rep2/H358_D3_rep2_QKDO250000349-1A_22T7C7LT4_L1_1.fq.gz,01.RawData/H358_D3_rep2/H358_D3_rep2_QKDO250000349-1A_22T7C7LT4_L1_2.fq.gz,2
H358_D3,01.RawData/H358_D3_rep2/H358_D3_rep2_QKDO250000349-1A_22V3NMLT4_L2_1.fq.gz,01.RawData/H358_D3_rep2/H358_D3_rep2_QKDO250000349-1A_22V3NMLT4_L2_2.fq.gz,2
H358_D7,01.RawData/H358_D7_rep1/H358_D7_rep1_QKDO250000350-1A_22J7K7LT4_L2_1.fq.gz,01.RawData/H358_D7_rep1/H358_D7_rep1_QKDO250000350-1A_22J7K7LT4_L2_2.fq.gz,1
H358_D7,01.RawData/H358_D7_rep1/H358_D7_rep1_QKDO250000350-1A_22T5WMLT4_L3_1.fq.gz,01.RawData/H358_D7_rep1/H358_D7_rep1_QKDO250000350-1A_22T5WMLT4_L3_2.fq.gz,1
H358_D7,01.RawData/H358_D7_rep1/H358_D7_rep1_QKDO250000350-1A_22V3NMLT4_L1_1.fq.gz,01.RawData/H358_D7_rep1/H358_D7_rep1_QKDO250000350-1A_22V3NMLT4_L1_2.fq.gz,1
H358_D7,01.RawData/H358_D7_rep2/H358_D7_rep2_QKDO250000351-1A_22J7K7LT4_L2_1.fq.gz,01.RawData/H358_D7_rep2/H358_D7_rep2_QKDO250000351-1A_22J7K7LT4_L2_2.fq.gz,2
H358_D7,01.RawData/H358_D7_rep2/H358_D7_rep2_QKDO250000351-1A_22T5WMLT4_L3_1.fq.gz,01.RawData/H358_D7_rep2/H358_D7_rep2_QKDO250000351-1A_22T5WMLT4_L3_2.fq.gz,2
H358_D7,01.RawData/H358_D7_rep2/H358_D7_rep2_QKDO250000351-1A_22V3NMLT4_L1_1.fq.gz,01.RawData/H358_D7_rep2/H358_D7_rep2_QKDO250000351-1A_22V3NMLT4_L1_2.fq.gz,2
H358_R,01.RawData/H358_AR_rep2/H358_AR_rep2_QKDO250000353-1A_22J7K7LT4_L2_1.fq.gz,01.RawData/H358_AR_rep2/H358_AR_rep2_QKDO250000353-1A_22J7K7LT4_L2_2.fq.gz,1
H358_R,01.RawData/H358_AR_rep2/H358_AR_rep2_QKDO250000353-1A_2322GHLT4_L5_1.fq.gz,01.RawData/H358_AR_rep2/H358_AR_rep2_QKDO250000353-1A_2322GHLT4_L5_2.fq.gz,1
