group,replicate,fastq_1,fastq_2,control
J005_HUC,1,J005 IMRC IMRM HUC HUR/RAW/HUC_1.fq.gz,J005 IMRC IMRM HUC HUR/RAW/HUC_2.fq.gz,
J005_HUM,1,J005 IMRC IMRM HUC HUR/RAW/HUM_1.fq.gz,J005 IMRC IMRM HUC HUR/RAW/HUM_2.fq.gz,
J005_HUR,1,J005 IMRC IMRM HUC HUR/RAW/HUR_1.fq.gz,J005 IMRC IMRM HUC HUR/RAW/HUR_2.fq.gz,
J005_IMRC,1,J005 IMRC IMRM HUC HUR/RAW/IMRC_1.fq.gz,J005 IMRC IMRM HUC HUR/RAW/IMRC_2.fq.gz,
J005_IMRM,1,J005 IMRC IMRM HUC HUR/RAW/IMRM_1.fq.gz,J005 IMRC IMRM HUC HUR/RAW/IMRM_2.fq.gz,
J006_IMR10,1,J006 IMR0.5 1/RawFq/IMR1_1.fq.gz,J006 IMR0.5 1/RawFq/IMR1_2.fq.gz,
J006_IMR05,1,J006 IMR0.5 1/RawFq/IMR05_1.fq.gz,J006 IMR0.5 1/RawFq/IMR05_2.fq.gz,
J007_IMR05,1,J007 IMRC 0.5/RawFq/IMR05_1.fq.gz,J007 IMRC 0.5/RawFq/IMR05_2.fq.gz,
J007_IMR00,1,J007 IMRC 0.5/RawFq/IMRC_1.fq.gz,J007 IMRC 0.5/RawFq/IMRC_2.fq.gz,
J009_IMR00,1,J009 IMR 0 0.3 0.6/RawFq/A0RE1_1.fq.gz,J009 IMR 0 0.3 0.6/RawFq/A0RE1_2.fq.gz,
J009_IMR00,2,J009 IMR 0 0.3 0.6/RawFq/A0RE2_1.fq.gz,J009 IMR 0 0.3 0.6/RawFq/A0RE2_2.fq.gz,
J009_IMR03,1,J009 IMR 0 0.3 0.6/RawFq/A03RE1_1.fq.gz,J009 IMR 0 0.3 0.6/RawFq/A03RE1_2.fq.gz,
J009_IMR03,2,J009 IMR 0 0.3 0.6/RawFq/A03RE2_1.fq.gz,J009 IMR 0 0.3 0.6/RawFq/A03RE2_2.fq.gz,
J009_IMR06,1,J009 IMR 0 0.3 0.6/RawFq/A06RE1_1.fq.gz,J009 IMR 0 0.3 0.6/RawFq/A06RE1_2.fq.gz,
J009_IMR06,2,J009 IMR 0 0.3 0.6/RawFq/A06RE2_1.fq.gz,J009 IMR 0 0.3 0.6/RawFq/A06RE2_2.fq.gz,
