PositionID,bChecked,strName,dXPosition,dYPosition,dZPosition,dPFSOffset,row,column,well,field,x,y,well_row_odd,well_row_id,well_column_odd,well_row_order,well_column_order
Point00001,true,A2#1,84500,2500,5212,11765,A,2,A2,1,84500,2500,1,1,1,1,2
Point00002,true,A2#2,84500,4300,5212,11765,A,2,A2,2,84500,4300,1,1,1,1,2
Point00003,true,A2#3,84500,6100,5212,11765,A,2,A2,3,84500,6100,1,1,1,1,2
Point00004,true,A2#4,86300,6100,5212,11765,A,2,A2,4,86300,6100,1,1,1,1,2
Point00005,true,A2#5,86300,4300,5212,11765,A,2,A2,5,86300,4300,1,1,1,1,2
Point00006,true,A3#1,75500,2500,5212,11765,A,3,A3,1,75500,2500,1,1,2,-1,3
Point00007,true,A3#2,75500,4300,5212,11765,A,3,A3,2,75500,4300,1,1,2,-1,3
Point00008,true,A3#3,75500,6100,5212,11765,A,3,A3,3,75500,6100,1,1,2,-1,3
Point00009,true,A3#4,77300,6100,5212,11765,A,3,A3,4,77300,6100,1,1,2,-1,3
Point00010,true,A3#5,77300,4300,5212,11765,A,3,A3,5,77300,4300,1,1,2,-1,3
Point00011,true,A4#1,66500,2500,5212,11765,A,4,A4,1,66500,2500,1,1,1,1,4
Point00012,true,A4#2,66500,4300,5212,11765,A,4,A4,2,66500,4300,1,1,1,1,4
Point00013,true,A4#3,66500,6100,5212,11765,A,4,A4,3,66500,6100,1,1,1,1,4
Point00014,true,A4#4,68300,6100,5212,11765,A,4,A4,4,68300,6100,1,1,1,1,4
Point00015,true,A4#5,68300,4300,5212,11765,A,4,A4,5,68300,4300,1,1,1,1,4
Point00016,true,A5#1,57500,2500,5212,11765,A,5,A5,1,57500,2500,1,1,2,-1,5
Point00017,true,A5#2,57500,4300,5212,11765,A,5,A5,2,57500,4300,1,1,2,-1,5
Point00018,true,A5#3,57500,6100,5212,11765,A,5,A5,3,57500,6100,1,1,2,-1,5
Point00019,true,A5#4,59300,6100,5212,11765,A,5,A5,4,59300,6100,1,1,2,-1,5
Point00020,true,A5#5,59300,4300,5212,11765,A,5,A5,5,59300,4300,1,1,2,-1,5
Point00021,true,A6#1,48500,2500,5212,11765,A,6,A6,1,48500,2500,1,1,1,1,6
Point00022,true,A6#2,48500,4300,5212,11765,A,6,A6,2,48500,4300,1,1,1,1,6
Point00023,true,A6#3,48500,6100,5212,11765,A,6,A6,3,48500,6100,1,1,1,1,6
Point00024,true,A6#4,50300,6100,5212,11765,A,6,A6,4,50300,6100,1,1,1,1,6
Point00025,true,A6#5,50300,4300,5212,11765,A,6,A6,5,50300,4300,1,1,1,1,6
Point00026,true,A7#1,39500,2500,5212,11765,A,7,A7,1,39500,2500,1,1,2,-1,7
Point00027,true,A7#2,39500,4300,5212,11765,A,7,A7,2,39500,4300,1,1,2,-1,7
Point00028,true,A7#3,39500,6100,5212,11765,A,7,A7,3,39500,6100,1,1,2,-1,7
Point00029,true,A7#4,41300,6100,5212,11765,A,7,A7,4,41300,6100,1,1,2,-1,7
Point00030,true,A7#5,41300,4300,5212,11765,A,7,A7,5,41300,4300,1,1,2,-1,7
Point00031,true,A8#1,30500,2500,5212,11765,A,8,A8,1,30500,2500,1,1,1,1,8
Point00032,true,A8#2,30500,4300,5212,11765,A,8,A8,2,30500,4300,1,1,1,1,8
Point00033,true,A8#3,30500,6100,5212,11765,A,8,A8,3,30500,6100,1,1,1,1,8
